sample_name,data_issues,fasta_file,possible_summer,mortality,mortality_code,anonymized_name,capture_timestamp,capture_group,capture_season,description,dna_extracted,elevation,empo_1,empo_2,empo_3,env_biome,env_biome_description,env_feature,env_material,env_package,geo_loc_name,host_age,host_age_units,host_common_name,host_life_stage,host_scientific_name,host_subject_id,fecal_at capture,host_taxid,host_weight,host_weight_units,latitude,longitude,physical_specimen_location,physical_specimen_remaining,qiita_study_id,sample_type,scientific_name,sex,taxon_id,serum_label,btv,ehd,study_area,i_80,capture_kit,adj_age,cor_age_calc,cor_age,cor_age_y_m_o,age_percentiles,age_by2,age_by1,age_y_m_o,body_weight,weight_percentiles,weight_5kg,weight_1kg,ss_ligament,lumbar_vert,sacrum,base_of_tail,caudal_vert,max.,b_femoris,l_dorsi,title
12842.13.045,n,Y,.,capture-related mortality,1,13.045,41591,2013_N,November,pronghorn feces,TRUE,2172.68,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,5,years,pronghorn,adult,Antilocapra americana,Yellow11,Y,9891,55.46,kg,42.17583589,-108.8030416,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-045 RDP,N,N,Red desert,North,13-045,5,5.939,5.939,m,3,3,5,m,55.46,4,4,55,1.25,3.5,4,2,2,0,13,38,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.046,n,Y,.,alive,3,13.046,41591,2013_N,November,pronghorn feces,TRUE,2145.49,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,4,years,pronghorn,adult,Antilocapra americana,Green17,N,9891,48.06,kg,42.1245819,-108.7518684,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-046 RDP,Positive,N,Red desert,North,13-046,4,5.153,5.153,m,2,2,4,m,48.06,2,2,48,0.375,4,4.5,4,4,3,13,39,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.047,n,Y,7/14/2015 general area,alive,3,13.047,41590,2013_N,November,pronghorn feces,TRUE,2080.51,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,6,years,pronghorn,adult,Antilocapra americana,Orange25,Y,9891,52.76,kg,41.64684378,-108.0228734,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-047 RDP,N,N,Bitter Creek ,South,13-047,6,6.725,6.725,m,3,3,6,m,52.76,4,3,52,0.125,4,4,4,4,3,14,39,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.048,n,Y,.,alive,3,13.048,41588,2013_N,November,pronghorn feces,TRUE,1997.18,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,2.5,years,pronghorn,adult,Antilocapra americana,Green21,Y,9891,42.66,kg,41.34815358,-107.6741602,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-048 RDP,N,N,Baggs,South,13-048,2.5,3.974,3.974,y,1,2,2,y,42.66,1,1,42,0.25,3.5,4,3.5,3.5,2,12,40,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.049,n,Y,.,capture-related mortality,1,13.049,41589,2013_N,November,pronghorn feces,TRUE,2078.95,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,10+,years,pronghorn,adult,Antilocapra americana,Green24,Y,9891,50.66,kg,41.45142852,-107.7912835,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-049 RDP,N,Positive,Bitter Creek ,South,13-049,10,9.869,9.869,o,4,5,10,o,50.66,3,3,50,1,4,2.5,2.5,2.5,0,11,41,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.05,y,N,.,unk,0,13.05,41590,2013_N,November,pronghorn feces,TRUE,2067,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,1,years,pronghorn,adult,Antilocapra americana,13.05,Y,9891,43.86,kg,41.45142852,-107.7912835,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-050 RDP,N,N,Baggs,South,13-140 (whirlpack 13-050),1,2.795,2.795,y,1,1,1,y,43.86,1,1,43,1,3.5,3.5,3.5,3,0,13,38,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.051,n,Y,.,alive,3,13.051,41589,2013_N,November,pronghorn feces,TRUE,2031.65,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,5.5,years,pronghorn,adult,Antilocapra americana,Green25,N,9891,44.66,kg,41.43768858,-107.8711728,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-051 RDP,N,N,Bitter Creek ,South,13-051,5.5,6.332,6.332,m,3,3,5,m,44.66,1,1,44,1,4,3.5,2.5,2.5,0,13,36,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.052,n,Y,.,alive,3,13.052,41589,2013_N,November,pronghorn feces,TRUE,2063.58,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,2.5,years,pronghorn,adult,Antilocapra americana,Green20,Y,9891,44.96,kg,41.47805131,-107.8392689,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-052 RDP,N,N,Bitter Creek ,South,13-052,2.5,3.974,3.974,y,1,2,2,y,44.96,1,1,44,0.375,4,4,4,4,2,12,38,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.053,n,Y,.,non-capture-related mortality,2,13.053,41588,2013_N,November,pronghorn feces,TRUE,2100.79,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,4.5,years,pronghorn,adult,Antilocapra americana,Green16,N,9891,47.46,kg,41.28104046,-107.5710854,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-053 RDP,N,N,Baggs,South,13-053,4.5,5.546,5.546,m,2,3,4,m,47.46,2,2,47,1,3.5,3.5,3,3,0,13,37,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.054,n,Y,.,alive,3,13.054,41588,2013_N,November,pronghorn feces,TRUE,1984.91,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,7,years,pronghorn,adult,Antilocapra americana,White24,Y,9891,44.26,kg,41.29955988,-107.6703826,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-054 RDP,N,N,Baggs,South,13-054,7,7.511,7.511,m,4,4,7,m,44.26,1,1,44,1,2.5,3,2.5,2.5,0,13,32,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.055,n,Y,6/16/14 likely hers,non-capture-related mortality,2,13.055,41590,2013_N,November,pronghorn feces,TRUE,2080.51,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,7.5,years,pronghorn,adult,Antilocapra americana,Purple13,N,9891,47.46,kg,41.64684378,-108.0228734,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-055 RDP,N,N,Bitter Creek ,South,13-055,7.5,7.904,7.904,m,4,4,7,m,47.46,2,2,47,1,3.5,3.5,2.5,2.5,0,11,42,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.056,n,Y,.,alive,3,13.056,41592,2013_N,November,pronghorn feces,TRUE,2080.51,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,10,years,pronghorn,adult,Antilocapra americana,Purple09,Y,9891,54.06,kg,41.64684378,-108.0228734,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-056 RDP,N,N,Red desert,North,13-056,10,9.869,9.869,o,4,5,10,o,54.06,4,3,54,1,4,4,2.5,2.5,0,13,39,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.057,n,Y,.,non-capture-related mortality,2,13.057,41591,2013_N,November,pronghorn feces,TRUE,2162.11,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,4,years,pronghorn,adult,Antilocapra americana,Yellow06,Y,9891,49.06,kg,42.21225511,-108.7111702,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-057 RDP,Positive,N,Red desert,North,13-057,4,5.153,5.153,m,2,2,4,m,49.06,2,2,49,0.75,4,4,2.5,2.5,1,13,37,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.058,n,Y,.,alive,3,13.058,41591,2013_N,November,pronghorn feces,TRUE,2179.33,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,8,years,pronghorn,adult,Antilocapra americana,Orange12,Y,9891,54.66,kg,42.22048202,-108.7584417,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-058 RDP,Positive,Positive,Red desert,North,13-058,8,8.297,8.297,o,4,4,8,o,54.66,4,3,54,1.25,3,3,2,2,0,12,38,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.059,n,Y,.,alive,3,13.059,41591,2013_N,November,pronghorn feces,TRUE,2080.51,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,4,years,pronghorn,adult,Antilocapra americana,Purple10,Y,9891,51.86,kg,41.64684378,-108.0228734,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-059 RDP,N,N,Red desert,North,13-059,4,5.153,5.153,m,2,2,4,m,51.86,3,3,51,1,4,4,2.5,2.5,0,10,42,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.06,n,Y,.,non-capture-related mortality,2,13.06,41589,2013_N,November,pronghorn feces,TRUE,2066.49,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,8.5,years,pronghorn,adult,Antilocapra americana,Red12,Y,9891,47.46,kg,41.43030559,-107.7845368,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-060 RDP,Positive,N,Bitter Creek ,South,13-060,8.5,8.69,8.69,o,4,5,8,o,47.46,2,2,47,1.25,4,2,1.5,1.5,0,11,33,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.061,n,Y,6/8/14 likely hers,alive,3,13.061,41590,2013_N,November,pronghorn feces,TRUE,2080.51,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,4,years,pronghorn,adult,Antilocapra americana,Purple01,Y,9891,54.36,kg,41.64684378,-108.0228734,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-061 RDP,Positive,N,Bitter Creek ,South,13-061,4,5.153,5.153,m,2,2,4,m,54.36,4,3,54,1,3.5,3,2.5,3,0,12,38,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.062,n,Y,.,alive,3,13.062,41588,2013_N,November,pronghorn feces,TRUE,2009.18,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,2,years,pronghorn,adult,Antilocapra americana,Orange10,Y,9891,48.46,kg,41.33897889,-107.7546895,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-062 RDP,N,Positive,Baggs,South,13-062,2,3.581,3.581,y,1,1,2,y,48.46,2,2,48,0.875,3,3,3,3,0,14,36,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.063,n,Y,.,non-capture-related mortality,2,13.063,41592,2013_N,November,pronghorn feces,TRUE,2104.31,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,3,years,pronghorn,adult,Antilocapra americana,White16,Y,9891,46.46,kg,42.14684266,-108.6326215,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-063 RDP,N,N,Red desert,North,13-063,3,4.367,4.367,m,1,2,3,y,46.46,1,2,46,1,4,4,2.5,2.5,0,14,42,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.065,n,Y,.,alive,3,13.065,41590,2013_N,November,pronghorn feces,TRUE,2062.84,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,7,years,pronghorn,adult,Antilocapra americana,Orange19,Y,9891,55.06,kg,41.51484946,-107.8932382,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-065 RDP,N,Positive,Bitter Creek ,South,13-065,7,7.511,7.511,m,4,4,7,m,55.06,4,4,55,0.5,4,4,3,3,2,12,40,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.066,y,Y,.,alive,3,13.066,41589,2013_N,November,pronghorn feces,TRUE,2082.07,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,4.5,years,pronghorn,adult,Antilocapra americana,Yellow02,Y,9891,47.86,kg,41.36916859,-107.610637,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-066 RDP,Positive,N,Baggs,South,13-066,4.5,5.546,5.546,m,2,3,4,m,47.86,2,2,47,0,4,5,5,5,4,12,34,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.067,n,Y,.,unk,0,13.067,41591,2013_N,November,pronghorn feces,TRUE,2210.39,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,5,years,pronghorn,adult,Antilocapra americana,White17,N,9891,44.46,kg,42.21553072,-108.8212905,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-067 RDP,N,N,Red desert,North,13-067,5,5.939,5.939,m,3,3,5,m,44.46,1,1,44,1.25,3.5,3.5,1.5,1.5,0,11,34,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.068,n,Y,.,alive,3,13.068,41588,2013_N,November,pronghorn feces,TRUE,2080.51,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,NR,years,pronghorn,adult,Antilocapra americana,Purple03,N,9891,48.06,kg,41.64684378,-108.0228734,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-068 RDP,Positive,Positive,Baggs,South,13-068,NR,NR,NR,,NR,NR,NR,,48.06,2,2,48,0.75,3.5,4,3.5,3.5,0,14,37,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.071,n,Y,.,non-capture related mortality,2,13.071,41589,2013_N,November,pronghorn feces,TRUE,2022.79,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,3.5,years,pronghorn,adult,Antilocapra americana,White23,Y,9891,48.06,kg,41.34956875,-107.6472505,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-071 RDP,N,N,Baggs,South,13-071,3.5,4.76,4.76,m,1,2,3,y,48.06,2,2,48,0.375,4,4,4,4,2,13,38,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.072,n,Y,.,non-capture-related mortality,2,13.072,41588,2013_N,November,pronghorn feces,TRUE,2080.51,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,4,years,pronghorn,adult,Antilocapra americana,Purple04,N,9891,44.66,kg,41.64684378,-108.0228734,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-072 RDP,N,N,Baggs,South,13-072,4,5.153,5.153,m,2,2,4,m,44.66,1,1,44,1,3.5,3.5,3,3,0,12,37,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.073,n,Y,.,non-capture-related mortality,2,13.073,41589,2013_N,November,pronghorn feces,TRUE,2029.65,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,2.5,years,pronghorn,adult,Antilocapra americana,Orange11,Y,9891,45.86,kg,41.34703535,-107.6434583,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-073 RDP,Positive,Positive,Baggs,South,13-073,2.5,3.974,3.974,y,1,2,2,y,45.86,1,2,45,0.5,4,4.5,4.5,4.5,2,11,38,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.074,n,Y,.,unk,0,13.074,41589,2013_N,November,pronghorn feces,TRUE,2028.47,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,4,years,pronghorn,adult,Antilocapra americana,Red09,Y,9891,56.46,kg,41.34965585,-107.6455054,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-074 RDP,N,N,Baggs,South,13-074,4,5.153,5.153,m,2,2,4,m,56.46,4,4,56,1,4,4,3,3,0,12,41,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.075,n,N,.,capture-related mortality,1,13.075,41590,2013_N,November,pronghorn feces,TRUE,2067,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,1.5,years,pronghorn,adult,Antilocapra americana,13.075,Y,9891,43.36,kg,41.34965585,-107.6455054,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-075 RDP,N,N,Red desert,North,13-075,1.5,3.188,3.188,y,1,1,1,y,43.36,1,1,43,1,4,4,2,2,0,11,37,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.076,n,Y,.,alive,3,13.076,41590,2013_N,November,pronghorn feces,TRUE,2062.72,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,10+,years,pronghorn,adult,Antilocapra americana,White15,Y,9891,41.36,kg,41.51477503,-107.8929401,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-076 RDP,N,N,Bitter Creek ,South,13-076,10,9.869,9.869,o,4,5,10,o,41.36,1,1,41,1,3,3.5,2,2,1,12,35,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.077,n,Y,.,non-capture-related mortality,2,13.077,41591,2013_N,November,pronghorn feces,TRUE,2180.92,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,4,years,pronghorn,adult,Antilocapra americana,Green13,Y,9891,55.86,kg,42.20109668,-108.7784013,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-077 RDP,N,N,Red desert,North,13-077,4,5.153,5.153,m,2,2,4,m,55.86,4,4,55,0,5,5,5,5,6,13,40,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.078,n,Y,.,non-capture-related mortality,2,13.078,41591,2013_N,November,pronghorn feces,TRUE,2215.63,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,4.5,years,pronghorn,adult,Antilocapra americana,Green11,Y,9891,45.86,kg,42.208753,-108.8175079,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-078 RDP,Positive,N,Red desert,North,13-078,4.5,5.546,5.546,m,2,3,4,m,45.86,1,2,45,1,3.5,4,2.5,2.5,0,13,42,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.079,n,Y,.,alive,3,13.079,41591,2013_N,November,pronghorn feces,TRUE,2061.21,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,4.5,years,pronghorn,adult,Antilocapra americana,Green19,Y,9891,50.06,kg,42.0119187,-108.5398436,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-079 RDP,N,N,Red desert,North,13-079,4.5,5.546,5.546,m,2,3,4,m,50.06,3,3,50,1,3.5,4,2,2,0,12,37,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.08,y,Y,.,alive,3,13.08,41591,2013_N,November,pronghorn feces,TRUE,2128.08,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,4+,years,pronghorn,adult,Antilocapra americana,Orange07,Y,9891,53.56,kg,42.19077848,-108.6795646,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-080 RDP,Positive,N,Red desert,North,13-080 (blood tubes 13-103),4,5.153,5.153,m,2,2,4,m,53.56,4,3,53,0.75,3.5,4,3,3,1,11,37,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.081,n,Y,.,non-capture-related mortality,2,13.081,41592,2013_N,November,pronghorn feces,TRUE,2080.51,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,2,years,pronghorn,adult,Antilocapra americana,Purple07,Y,9891,42.96,kg,41.64684378,-108.0228734,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-081 RDP,N,N,Red desert,North,13-081,2,3.581,3.581,y,1,1,2,y,42.96,1,1,42,1,3.5,4,2.5,2.5,0,11,34,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.084,n,Y,.,alive,3,13.084,41592,2013_N,November,pronghorn feces,TRUE,2060.51,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,10+,years,pronghorn,adult,Antilocapra americana,Orange16,Y,9891,55.16,kg,42.01679104,-108.5514849,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-084 RDP,N,N,Red desert,North,13-084,10,9.869,9.869,o,4,5,10,o,55.16,4,4,55,1,3,3.5,1.75,1.5,0,13,36,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.086,n,Y,6/9/14 no notes,alive,3,13.086,41590,2013_N,November,pronghorn feces,TRUE,2140.75,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,6,years,pronghorn,adult,Antilocapra americana,Orange01,Y,9891,46.46,kg,41.60629894,-107.8271948,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-086 RDP,N,N,Bitter Creek ,South,13-086,6,6.725,6.725,m,3,3,6,m,46.46,1,2,46,1,4,3,2.5,2.5,0,12,34,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.087,n,Y,.,capture-related mortality,1,13.087,41591,2013_N,November,pronghorn feces,TRUE,2080.51,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,2,years,pronghorn,adult,Antilocapra americana,Purple11,Y,9891,48.96,kg,41.64684378,-108.0228734,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-087 RDP,Positive,N,Red desert,North,13-087,2,3.581,3.581,y,1,1,2,y,48.96,2,2,48,0.75,3.5,4,2.5,2.5,0,12,39,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.088,n,Y,.,alive,3,13.088,41590,2013_N,November,pronghorn feces,TRUE,2157.59,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,1,years,pronghorn,adult,Antilocapra americana,Yellow07,Y,9891,48.46,kg,41.57323141,-107.7891935,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-088 RDP,Positive,Positive,Bitter Creek ,South,13-088,1,2.795,2.795,y,1,1,1,y,48.46,2,2,48,1,4,3.5,3,3,0,12,41,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.089,n,Y,.,alive,3,13.089,41592,2013_N,November,pronghorn feces,TRUE,2118.76,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,3.5,years,pronghorn,adult,Antilocapra americana,White10,Y,9891,48.96,kg,42.1644828,-108.6671611,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-089 RDP,N,N,Red desert,North,13-089,3.5,4.76,4.76,m,1,2,3,y,48.96,2,2,48,0.75,4,4,3,3,0,14,40,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.09,n,Y,.,unk,0,13.09,41591,2013_N,November,pronghorn feces,TRUE,2080.51,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,1.5,years,pronghorn,adult,Antilocapra americana,Purple25,Y,9891,45.86,kg,41.64684378,-108.0228734,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-090 RDP,N,N,Red desert,North,13-090,1.5,3.188,3.188,y,1,1,1,y,45.86,1,2,45,0.5,4,4,2.5,2.5,1,10,41,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.091,n,Y,6/8/14 no notes,non-capture-related mortality,2,13.091,41590,2013_N,November,pronghorn feces,TRUE,2080.51,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,6,years,pronghorn,adult,Antilocapra americana,Purple16,Y,9891,50.36,kg,41.64684378,-108.0228734,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-091 RDP,N,Positive,Bitter Creek ,South,13-091,6,6.725,6.725,m,3,3,6,m,50.36,3,3,50,1.5,2,2,1,1,0,12,32,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.092,n,Y,.,non-capture-related mortality,2,13.092,41591,2013_N,November,pronghorn feces,TRUE,2156.63,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,7,years,pronghorn,adult,Antilocapra americana,Green15,Y,9891,52.26,kg,42.08225568,-108.7262971,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-092 RDP,N,N,Red desert,North,13-092,7,7.511,7.511,m,4,4,7,m,52.26,4,3,52,0.75,3.5,3.5,2.5,2.5,0,14,38,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.093,n,Y,.,alive,3,13.093,41588,2013_N,November,pronghorn feces,TRUE,2107.35,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,8+,years,pronghorn,adult,Antilocapra americana,White11,N,9891,47.96,kg,41.28935375,-107.5658868,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-093 RDP,N,N,Baggs,South,13-093,8,8.297,8.297,o,4,4,8,o,47.96,2,2,47,0.75,3.5,4,3,3,0,13,37,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
